,ID,ROW_ID,SALES_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,DISTRIBUTION_CHANNEL,DC_NAME,PRICE,CURRENCY
98,.1~99,99,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F02,500g Blueberry Muesli,12,Grocery chains,10.23,EUR
99,.1~100,100,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F02,500g Blueberry Muesli,14,Indept. grocers,10.23,EUR
100,.1~101,101,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F03,500g Strawberry Muesli,12,Grocery chains,10.23,EUR
101,.1~102,102,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F03,500g Strawberry Muesli,14,Indept. grocers,10.23,EUR
102,.1~103,103,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F04,500g Raisin Muesli,12,Grocery chains,9.79,EUR
103,.1~104,104,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F04,500g Raisin Muesli,14,Indept. grocers,9.79,EUR
104,.1~105,105,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F05,500g Original Muesli,12,Grocery chains,9.77,EUR
105,.1~106,106,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F05,500g Original Muesli,14,Indept. grocers,9.77,EUR
106,.1~107,107,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F06,500g Mixed Fruit Muesli,12,Grocery chains,10.13,EUR
107,.1~108,108,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F06,500g Mixed Fruit Muesli,14,Indept. grocers,10.13,EUR
108,.1~109,109,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F11,1kg Nut Muesli,10,Hypermarket,9.61,EUR
109,.1~110,110,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F11,1kg Nut Muesli,12,Grocery chains,10.61,EUR
110,.1~111,111,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F12,1kg Blueberry Muesli,10,Hypermarket,10.26,EUR
111,.1~112,112,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F12,1kg Blueberry Muesli,12,Grocery chains,11.26,EUR
112,.1~113,113,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F13,1kg Strawberry Muesli,10,Hypermarket,10.27,EUR
113,.1~114,114,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F13,1kg Strawberry Muesli,12,Grocery chains,11.27,EUR
114,.1~115,115,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F14,1kg Raisin Muesli,10,Hypermarket,9.38,EUR
115,.1~116,116,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F14,1kg Raisin Muesli,12,Grocery chains,10.38,EUR
116,.1~117,117,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F15,1kg Original Muesli,10,Hypermarket,9.35,EUR
117,.1~118,118,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F15,1kg Original Muesli,12,Grocery chains,10.35,EUR
118,.1~119,119,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F16,1kg Mixed Fruit Muesli,10,Hypermarket,10.06,EUR
119,.1~120,120,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F16,1kg Mixed Fruit Muesli,12,Grocery chains,11.06,EUR
120,.1~121,121,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F01,500g Nut Muesli,12,Grocery chains,8.40,EUR
121,.1~122,122,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F01,500g Nut Muesli,14,Indept. grocers,9.90,EUR
122,.1~123,123,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F02,500g Blueberry Muesli,12,Grocery chains,8.73,EUR
123,.1~124,124,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F02,500g Blueberry Muesli,14,Indept. grocers,10.23,EUR
124,.1~125,125,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F03,500g Strawberry Muesli,12,Grocery chains,8.73,EUR
125,.1~126,126,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F03,500g Strawberry Muesli,14,Indept. grocers,10.23,EUR
126,.1~127,127,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F04,500g Raisin Muesli,12,Grocery chains,8.29,EUR
127,.1~128,128,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F04,500g Raisin Muesli,14,Indept. grocers,9.79,EUR
128,.1~129,129,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F05,500g Original Muesli,12,Grocery chains,8.27,EUR
129,.1~130,130,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F05,500g Original Muesli,14,Indept. grocers,9.77,EUR
130,.1~131,131,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F06,500g Mixed Fruit Muesli,12,Grocery chains,8.63,EUR
131,.1~132,132,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F06,500g Mixed Fruit Muesli,14,Indept. grocers,10.13,EUR
132,.1~133,133,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F11,1kg Nut Muesli,10,Hypermarket,8.61,EUR
133,.1~134,134,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F11,1kg Nut Muesli,12,Grocery chains,9.11,EUR
134,.1~135,135,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F12,1kg Blueberry Muesli,10,Hypermarket,9.26,EUR
135,.1~136,136,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F12,1kg Blueberry Muesli,12,Grocery chains,9.76,EUR
136,.1~137,137,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F13,1kg Strawberry Muesli,10,Hypermarket,9.27,EUR
137,.1~138,138,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F13,1kg Strawberry Muesli,12,Grocery chains,9.77,EUR
138,.1~139,139,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F14,1kg Raisin Muesli,10,Hypermarket,8.38,EUR
139,.1~140,140,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F14,1kg Raisin Muesli,12,Grocery chains,8.88,EUR
140,.1~141,141,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F15,1kg Original Muesli,10,Hypermarket,8.35,EUR
141,.1~142,142,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F15,1kg Original Muesli,12,Grocery chains,8.85,EUR
142,.1~143,143,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F16,1kg Mixed Fruit Muesli,10,Hypermarket,9.06,EUR
143,.1~144,144,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F16,1kg Mixed Fruit Muesli,12,Grocery chains,9.56,EUR
144,.1~145,145,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F01,500g Nut Muesli,12,Grocery chains,8.30,EUR
145,.1~146,146,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F01,500g Nut Muesli,14,Indept. grocers,9.90,EUR
146,.1~147,147,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F02,500g Blueberry Muesli,12,Grocery chains,8.63,EUR
147,.1~148,148,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F02,500g Blueberry Muesli,14,Indept. grocers,10.23,EUR
148,.1~149,149,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F03,500g Strawberry Muesli,12,Grocery chains,8.63,EUR
149,.1~150,150,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F03,500g Strawberry Muesli,14,Indept. grocers,10.23,EUR
150,.1~151,151,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F04,500g Raisin Muesli,12,Grocery chains,8.19,EUR
151,.1~152,152,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F04,500g Raisin Muesli,14,Indept. grocers,9.79,EUR
152,.1~153,153,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F05,500g Original Muesli,12,Grocery chains,8.17,EUR
153,.1~154,154,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F05,500g Original Muesli,14,Indept. grocers,9.77,EUR
154,.1~155,155,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F06,500g Mixed Fruit Muesli,12,Grocery chains,8.53,EUR
155,.1~156,156,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F06,500g Mixed Fruit Muesli,14,Indept. grocers,10.13,EUR
