,ID,ROW_ID,COMPANY_CODE,SALES_ORGANIZATION,SIM_ROUND,SIM_PERIOD,MATERIAL_DESCRIPTION,DISTRIBUTION_CHANNEL,AREA,QUANTITY,UNIT,AVERAGE_PRICE,NET_VALUE,CURRENCY
752,.1~409,409,C2,Market,02,6,500g Blueberry Muesli,12,West,5503,ST,6.23,34283.69,EUR
753,.1~411,411,C2,Market,02,6,500g Mixed Fruit Muesli,12,North,4196,ST,6.13,25721.48,EUR
754,.1~413,413,C2,Market,02,6,500g Mixed Fruit Muesli,12,South,5301,ST,6.13,32495.13,EUR
755,.1~415,415,C2,Market,02,6,500g Mixed Fruit Muesli,12,West,7302,ST,6.13,44761.26,EUR
756,.1~417,417,C2,Market,02,6,500g Nut Muesli,12,North,8445,ST,5.90,49825.50,EUR
757,.1~419,419,C2,Market,02,6,500g Nut Muesli,12,South,2512,ST,5.90,14820.80,EUR
758,.1~421,421,C2,Market,02,6,500g Nut Muesli,12,West,2938,ST,5.90,17334.20,EUR
759,.1~423,423,C2,Market,02,6,500g Original Muesli,12,South,1107,ST,5.77,6387.39,EUR
760,.1~425,425,C2,Market,02,6,500g Raisin Muesli,12,North,3310,ST,5.79,19164.90,EUR
761,.1~427,427,C2,Market,02,6,500g Raisin Muesli,12,South,3355,ST,5.79,19425.45,EUR
762,.1~429,429,C2,Market,02,6,500g Raisin Muesli,12,West,4466,ST,5.79,25858.14,EUR
763,.1~431,431,C2,Market,02,6,500g Strawberry Muesli,12,North,6058,ST,6.23,37741.34,EUR
764,.1~433,433,C2,Market,02,6,500g Strawberry Muesli,12,South,898,ST,6.23,5594.54,EUR
765,.1~435,435,C2,Market,02,6,500g Strawberry Muesli,12,West,2131,ST,6.23,13276.13,EUR
766,.1~437,437,C2,Market,02,6,500g Blueberry Muesli,14,North,6817,ST,6.23,42469.91,EUR
767,.1~439,439,C2,Market,02,6,500g Blueberry Muesli,14,South,3931,ST,6.23,24490.13,EUR
768,.1~441,441,C2,Market,02,6,500g Blueberry Muesli,14,West,5858,ST,6.23,36495.34,EUR
769,.1~443,443,C2,Market,02,6,500g Mixed Fruit Muesli,14,North,613,ST,7.36,4511.68,EUR
770,.1~445,445,C2,Market,02,6,500g Mixed Fruit Muesli,14,South,1965,ST,7.36,14462.40,EUR
771,.1~447,447,C2,Market,02,6,500g Mixed Fruit Muesli,14,West,3072,ST,7.36,22609.92,EUR
772,.1~449,449,C2,Market,02,6,500g Nut Muesli,14,North,9211,ST,6.09,55902.50,EUR
773,.1~451,451,C2,Market,02,6,500g Nut Muesli,14,South,3877,ST,6.13,23563.42,EUR
774,.1~453,453,C2,Market,02,6,500g Nut Muesli,14,West,5605,ST,6.06,33869.54,EUR
775,.1~455,455,C2,Market,02,6,500g Original Muesli,14,North,846,ST,5.77,4881.42,EUR
776,.1~457,457,C2,Market,02,6,500g Original Muesli,14,South,857,ST,5.77,4944.89,EUR
777,.1~459,459,C2,Market,02,6,500g Original Muesli,14,West,877,ST,5.77,5060.29,EUR
778,.1~461,461,C2,Market,02,6,500g Raisin Muesli,14,North,1452,ST,6.37,9188.92,EUR
779,.1~463,463,C2,Market,02,6,500g Raisin Muesli,14,South,2726,ST,6.95,18945.70,EUR
780,.1~465,465,C2,Market,02,6,500g Raisin Muesli,14,West,2280,ST,6.17,13972.60,EUR
781,.1~467,467,C2,Market,02,6,500g Strawberry Muesli,14,North,2930,ST,6.23,18253.90,EUR
782,.1~469,469,C2,Market,02,6,500g Strawberry Muesli,14,South,5534,ST,6.23,34476.82,EUR
783,.1~471,471,C2,Market,02,6,500g Strawberry Muesli,14,West,2070,ST,6.23,12896.10,EUR
784,.1~473,473,C2,Market,02,7,1kg Blueberry Muesli,10,South,875,ST,7.26,6352.50,EUR
785,.1~475,475,C2,Market,02,7,1kg Blueberry Muesli,10,West,1318,ST,7.26,9568.68,EUR
786,.1~477,477,C2,Market,02,7,1kg Mixed Fruit Muesli,10,North,5299,ST,6.71,35556.29,EUR
787,.1~479,479,C2,Market,02,7,1kg Mixed Fruit Muesli,10,South,4530,ST,6.71,30396.30,EUR
788,.1~481,481,C2,Market,02,7,1kg Mixed Fruit Muesli,10,West,8531,ST,6.71,57243.01,EUR
789,.1~483,483,C2,Market,02,7,1kg Nut Muesli,10,North,2207,ST,6.61,14588.27,EUR
790,.1~485,485,C2,Market,02,7,1kg Nut Muesli,10,South,5706,ST,6.61,37716.66,EUR
791,.1~487,487,C2,Market,02,7,1kg Nut Muesli,10,West,2661,ST,6.61,17589.21,EUR
792,.1~489,489,C2,Market,02,7,1kg Raisin Muesli,10,North,1868,ST,6.38,11917.84,EUR
793,.1~491,491,C2,Market,02,7,1kg Raisin Muesli,10,South,1110,ST,6.06,6726.60,EUR
794,.1~493,493,C2,Market,02,7,1kg Blueberry Muesli,12,North,4268,ST,7.26,30985.68,EUR
795,.1~495,495,C2,Market,02,7,1kg Blueberry Muesli,12,South,5060,ST,7.26,36735.60,EUR
796,.1~497,497,C2,Market,02,7,1kg Blueberry Muesli,12,West,4479,ST,7.26,32517.54,EUR
797,.1~499,499,C2,Market,02,7,1kg Mixed Fruit Muesli,12,North,12154,ST,7.06,85807.24,EUR
798,.1~501,501,C2,Market,02,7,1kg Mixed Fruit Muesli,12,South,8143,ST,7.06,57489.58,EUR
799,.1~503,503,C2,Market,02,7,1kg Mixed Fruit Muesli,12,West,9604,ST,7.06,67804.24,EUR
800,.1~505,505,C2,Market,02,7,1kg Nut Muesli,12,North,2829,ST,6.61,18699.69,EUR
801,.1~507,507,C2,Market,02,7,1kg Nut Muesli,12,South,14235,ST,6.61,94093.35,EUR
802,.1~509,509,C2,Market,02,7,1kg Nut Muesli,12,West,9362,ST,6.61,61882.82,EUR
803,.1~511,511,C2,Market,02,7,1kg Raisin Muesli,12,North,3819,ST,6.38,24365.22,EUR
804,.1~513,513,C2,Market,02,7,1kg Raisin Muesli,12,South,3966,ST,6.38,25303.08,EUR
805,.1~515,515,C2,Market,02,7,1kg Raisin Muesli,12,West,734,ST,6.38,4682.92,EUR
806,.1~517,517,C2,Market,02,7,500g Mixed Fruit Muesli,12,North,4887,ST,6.13,29957.31,EUR
807,.1~519,519,C2,Market,02,7,500g Mixed Fruit Muesli,12,South,3393,ST,6.13,20799.09,EUR
808,.1~521,521,C2,Market,02,7,500g Mixed Fruit Muesli,12,West,3093,ST,6.13,18960.09,EUR
809,.1~523,523,C2,Market,02,7,500g Nut Muesli,12,North,13914,ST,5.90,82092.60,EUR
810,.1~525,525,C2,Market,02,7,500g Nut Muesli,12,South,1207,ST,5.90,7121.30,EUR
811,.1~527,527,C2,Market,02,7,500g Nut Muesli,12,West,3429,ST,5.90,20231.10,EUR
812,.1~529,529,C2,Market,02,7,500g Raisin Muesli,12,North,2883,ST,5.79,16692.57,EUR
813,.1~531,531,C2,Market,02,7,500g Raisin Muesli,12,South,2289,ST,5.79,13253.31,EUR
814,.1~533,533,C2,Market,02,7,500g Raisin Muesli,12,West,7495,ST,5.79,43396.05,EUR
815,.1~535,535,C2,Market,02,7,500g Strawberry Muesli,12,North,5827,ST,6.23,36302.21,EUR
816,.1~537,537,C2,Market,02,7,500g Strawberry Muesli,12,South,7225,ST,6.23,45011.75,EUR
817,.1~539,539,C2,Market,02,7,500g Strawberry Muesli,12,West,5208,ST,6.23,32445.84,EUR
818,.1~541,541,C2,Market,02,7,500g Mixed Fruit Muesli,14,North,2756,ST,7.36,20284.16,EUR
