,ID,ROW_ID,PLANT,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,STORAGE_LOCATION,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,MATERIAL_CODE,MATERIAL_SIZE,MATERIAL_LABEL,INVENTORY_OPENING_BALANCE,UNIT
392,.1~681,681,C2,02,11,02/11,2024-01-31T00:00:00,7,31,88,CC-R05,Wheat,Raw materials,R05,,Wheat,67551.100,KG
393,.1~21,21,C2,01,01,01/01,2024-01-01T00:00:00,1,1,88,CC-R05,Wheat,Raw materials,R05,,Wheat,0.000,KG
394,.1~263,263,C2,01,12,01/12,2024-01-12T00:00:00,3,12,88,CC-R05,Wheat,Raw materials,R05,,Wheat,97050.700,KG
395,.1~791,791,C2,02,16,02/16,2024-02-05T00:00:00,8,36,88,CC-R05,Wheat,Raw materials,R05,,Wheat,124069.700,KG
396,.1~659,659,C2,02,10,02/10,2024-01-30T00:00:00,6,30,88,CC-R05,Wheat,Raw materials,R05,,Wheat,71200.000,KG
397,.1~285,285,C2,01,13,01/13,2024-01-13T00:00:00,3,13,88,CC-R05,Wheat,Raw materials,R05,,Wheat,90400.800,KG
398,.1~109,109,C2,01,05,01/05,2024-01-05T00:00:00,1,5,88,CC-R05,Wheat,Raw materials,R05,,Wheat,72400.000,KG
399,.1~637,637,C2,02,09,02/09,2024-01-29T00:00:00,6,29,88,CC-R05,Wheat,Raw materials,R05,,Wheat,74701.000,KG
400,.1~307,307,C2,01,14,01/14,2024-01-14T00:00:00,3,14,88,CC-R05,Wheat,Raw materials,R05,,Wheat,82600.800,KG
401,.1~615,615,C2,02,08,02/08,2024-01-28T00:00:00,6,28,88,CC-R05,Wheat,Raw materials,R05,,Wheat,78400.000,KG
402,.1~813,813,C2,02,17,02/17,2024-02-06T00:00:00,8,37,88,CC-R05,Wheat,Raw materials,R05,,Wheat,114969.700,KG
403,.1~549,549,C2,02,05,02/05,2024-01-25T00:00:00,5,25,88,CC-R05,Wheat,Raw materials,R05,,Wheat,90335.200,KG
404,.1~329,329,C2,01,15,01/15,2024-01-15T00:00:00,3,15,88,CC-R05,Wheat,Raw materials,R05,,Wheat,76392.250,KG
405,.1~593,593,C2,02,07,02/07,2024-01-27T00:00:00,6,27,88,CC-R05,Wheat,Raw materials,R05,,Wheat,81850.900,KG
406,.1~87,87,C2,01,04,01/04,2024-01-04T00:00:00,1,4,88,CC-R05,Wheat,Raw materials,R05,,Wheat,76250.000,KG
407,.1~351,351,C2,01,16,01/16,2024-01-16T00:00:00,4,16,88,CC-R05,Wheat,Raw materials,R05,,Wheat,71842.250,KG
408,.1~571,571,C2,02,06,02/06,2024-01-26T00:00:00,6,26,88,CC-R05,Wheat,Raw materials,R05,,Wheat,85750.900,KG
409,.1~373,373,C2,01,17,01/17,2024-01-17T00:00:00,4,17,88,CC-R05,Wheat,Raw materials,R05,,Wheat,67292.250,KG
410,.1~804,804,C2,02,17,02/17,2024-02-06T00:00:00,8,37,02,CC-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,0,ST
