,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_SIZE,MATERIAL_LABEL,MATERIAL_CODE,YIELD,UNIT
350,.1~348,348,C2,02,09,02/09,2024-01-29T00:00:00,6,29,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,2.334E4,ST
351,.1~287,287,C2,02,04,02/04,2024-01-24T00:00:00,5,24,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
352,.1~165,165,C2,01,14,01/14,2024-01-14T00:00:00,3,14,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
353,.1~436,436,C2,02,17,02/17,2024-02-06T00:00:00,8,37,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
354,.1~242,242,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
355,.1~36,36,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,2.6E4,ST
356,.1~118,118,C2,01,10,01/10,2024-01-10T00:00:00,2,10,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
357,.1~336,336,C2,02,08,02/08,2024-01-28T00:00:00,6,28,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,2.466E4,ST
358,.1~129,129,C2,01,11,01/11,2024-01-11T00:00:00,3,11,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
359,.1~295,295,C2,02,05,02/05,2024-01-25T00:00:00,5,25,CC-F01,500g Nut Muesli,500g,Nut Muesli,F01,0,ST
360,.1~322,322,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-F05,500g Original Muesli,500g,Original Muesli,F05,0,ST
361,.1~23,23,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F05,500g Original Muesli,500g,Original Muesli,F05,0,ST
362,.1~466,466,C2,02,19,02/19,2024-02-08T00:00:00,8,39,CC-F05,500g Original Muesli,500g,Original Muesli,F05,0,ST
363,.1~138,138,C2,01,12,01/12,2024-01-12T00:00:00,3,12,CC-F05,500g Original Muesli,500g,Original Muesli,F05,0,ST
364,.1~8,8,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F05,500g Original Muesli,500g,Original Muesli,F05,0,ST
365,.1~130,130,C2,01,11,01/11,2024-01-11T00:00:00,3,11,CC-F05,500g Original Muesli,500g,Original Muesli,F05,0,ST
366,.1~472,472,C2,02,20,02/20,2024-02-09T00:00:00,8,40,CC-F05,500g Original Muesli,500g,Original Muesli,F05,0,ST
367,.1~333,333,C2,02,08,02/08,2024-01-28T00:00:00,6,28,CC-F05,500g Original Muesli,500g,Original Muesli,F05,0,ST
368,.1~148,148,C2,01,13,01/13,2024-01-13T00:00:00,3,13,CC-F05,500g Original Muesli,500g,Original Muesli,F05,0,ST
369,.1~400,400,C2,02,14,02/14,2024-02-03T00:00:00,7,34,CC-F05,500g Original Muesli,500g,Original Muesli,F05,0,ST
370,.1~80,80,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F05,500g Original Muesli,500g,Original Muesli,F05,0,ST
371,.1~62,62,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F05,500g Original Muesli,500g,Original Muesli,F05,0,ST
372,.1~386,386,C2,02,13,02/13,2024-02-02T00:00:00,7,33,CC-F05,500g Original Muesli,500g,Original Muesli,F05,0,ST
373,.1~414,414,C2,02,15,02/15,2024-02-04T00:00:00,7,35,CC-F05,500g Original Muesli,500g,Original Muesli,F05,0,ST
374,.1~58,58,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F05,500g Original Muesli,500g,Original Muesli,F05,0,ST
375,.1~87,87,C2,01,08,01/08,2024-01-08T00:00:00,2,8,CC-F05,500g Original Muesli,500g,Original Muesli,F05,0,ST
376,.1~378,378,C2,02,12,02/12,2024-02-01T00:00:00,7,32,CC-F05,500g Original Muesli,500g,Original Muesli,F05,0,ST
377,.1~370,370,C2,02,11,02/11,2024-01-31T00:00:00,7,31,CC-F05,500g Original Muesli,500g,Original Muesli,F05,0,ST
378,.1~98,98,C2,01,09,01/09,2024-01-09T00:00:00,2,9,CC-F05,500g Original Muesli,500g,Original Muesli,F05,0,ST
